Model,Price,Year,Kilometer
Honda Amaze 1.2 S i-VTEC,4750.0,2014,65000
Honda City VX,5500.0,2015,44000
Honda City V,7750.0,2018,39000
Honda WR-V VX MT Petrol,7950.0,2018,45326
Honda City VX CVT Petrol [2017-2019],10500.0,2017,29386
Honda City 1.5 V AT,4950.0,2012,65001
Honda City ZX CVT Petrol,15300.0,2022,2000
Honda City V Petrol,10950.0,2022,2700
Honda City V,8500.0,2018,52890
Honda City S Petrol,6950.0,2017,51292
Honda City V,6850.0,2016,68500
Honda City 1.5 V AT,2450.0,2010,95000
Honda City 1.5 V AT,4750.0,2012,40000
Honda Civic 1.8V MT,7770.0,2014,9212
Honda City 1.5 S MT,5000.0,2013,65000
Honda Amaze 1.5 VX i-DTEC,9350.0,2019,56000
Honda City V CVT Petrol [2017-2019],13400.0,2021,11000
Honda WR-V VX MT Petrol,5800.0,2017,39000
Honda Amaze 1.2 SX i-VTEC,5400.0,2017,38700
Honda City V,8350.0,2018,42855
Honda City VX (O) MT BL,8750.0,2018,50000
Honda City S Diesel,5850.0,2015,61000
Honda Amaze 1.2 S CVT Petrol [2018-2020],6500.0,2019,54000
Honda City V,6000.0,2014,75574
Honda Mobilio RS Diesel,6750.0,2015,48000
Honda WR-V S MT Diesel,7900.0,2018,41000
Honda City SV Diesel,5400.0,2015,76000
Honda City V,7450.0,2016,38000
Honda Amaze 1.2 S MT Petrol [2018-2020],6750.0,2019,74237
Honda City SV CVT,5900.0,2015,75258
Honda Amaze 1.2 S i-VTEC,4250.0,2014,53610
Honda Jazz V Diesel,5250.0,2015,68244
Honda City SV,8750.0,2019,36000
Honda Jazz V Petrol,5000.0,2016,54440
Honda City V Diesel,6900.0,2016,38000
Honda Civic 1.8V MT,3000.0,2010,83359
Honda City V Diesel,6350.0,2016,72200
Honda City VX,11990.0,2020,26497
Honda City 1.5 V AT,3250.0,2010,56000
Honda City 1.5 V AT,3250.0,2011,89000
Honda Amaze 1.5 E i-DTEC,4250.0,2013,79500
Honda City 1.5 V MT,3750.0,2012,80350
Honda Amaze 1.2 VX MT Petrol [2018-2020],7000.0,2022,1000
Honda City VX,7900.0,2016,63088
Honda CR-V 2.4 AT,8449.99,2014,80121
Honda City ZX Diesel,14500.0,2022,2500
Honda City 1.5 V MT,4000.0,2013,76000
Honda Amaze 1.2 VX AT i-VTEC,4349.99,2014,50000
Honda Amaze 1.2 E MT Petrol [2018-2020],6750.0,2020,25000
Honda City VX,12550.0,2021,10000
Honda City 1.5 S MT,2750.0,2009,80000
Honda City VX CVT,6900.0,2015,59000
Honda Accord 2.4 AT,4750.0,2011,72000
Honda Amaze 1.5 VX i-DTEC,5150.0,2015,63587
Honda Amaze 1.2 S AT i-VTEC,3900.0,2014,67000
Honda Amaze 1.2 E i-VTEC,6500.0,2019,42000
Honda City 1.5 S AT,2500.0,2009,110000
Honda City S Diesel,2500.0,2017,132683
Honda Jazz VX CVT Petrol,7850.0,2018,23000
Honda Jazz V Petrol,5250.0,2016,18800
Honda Amaze 1.5 S i-DTEC,4250.0,2014,75000
Honda City 1.5 S MT,2500.0,2009,72256
Honda City V CVT Petrol [2017-2019],10400.0,2019,18000
Honda Jazz S AT [2015-2016],5200.0,2015,42000
Honda Jazz V AT Petrol,5950.0,2017,99000
Honda WR-V VX MT Petrol,5750.0,2017,53580
Honda City V Petrol,9500.0,2019,22000
Honda City VX Petrol [2017-2019],8500.0,2017,47255
Honda Jazz V Petrol,6550.0,2017,24003
Honda BR-V V CVT Petrol,7450.0,2018,54000
Honda City 1.5 V MT,3650.0,2010,58424
Honda CR-V 2.0L 2WD AT,11300.0,2015,50000
Honda City VX CVT,7750.0,2016,42000
Honda WR-V VX MT Diesel,7550.0,2017,75650
Honda City CVT,1850.0,2008,70000
Honda City V Diesel,6000.0,2016,70000
Honda Amaze 1.2 S i-VTEC,4250.0,2014,58600
Honda Brio S MT,3410.0,2016,49000
Honda Brio VX AT,3350.0,2013,64418
Honda City 1.5 E MT,3750.0,2013,86000
Honda City 1.5 S MT,4990.0,2012,96506
Honda Accord 2.4 iVtec AT,1950.0,2008,57885
Honda City SV Diesel,7500.0,2018,75000
Honda City V,7300.0,2016,51834
Honda City SV CVT,5900.0,2015,116592
Honda City V,4800.0,2015,49000
